industry,date,D
汽车,2025-05-21,2.028
汽车,2025-05-22,2.0199042023896148
汽车,2025-05-23,2.011840723289559
汽车,2025-05-24,2.0038094336839953
汽车,2025-05-25,1.9958102050721185
汽车,2025-05-26,1.9878429094661
汽车,2025-05-27,1.9799074193890405
汽车,2025-05-28,1.972003607872929
汽车,2025-05-29,1.9641313484566132
汽车,2025-05-30,4.153290515183775
汽车,2025-05-31,4.885510535189662
汽车,2025-06-01,4.866007525073144
汽车,2025-06-02,4.846582371180834
汽车,2025-06-03,4.827234762709858
汽车,2025-06-04,4.807964390098065
汽车,2025-06-05,4.788770945019084
汽车,2025-06-06,4.769654120377384
汽车,2025-06-07,4.750613610303362
汽车,2025-06-08,4.731649110148452
汽车,2025-06-09,6.740760316480246
汽车,2025-06-10,6.713851129467258
汽车,2025-06-11,6.68704936421557
汽车,2025-06-12,6.6603545918963665
汽车,2025-06-13,6.633766385392721
汽车,2025-06-14,6.607284319292762
汽车,2025-06-15,6.580907969882867
汽车,2025-06-16,6.554636915140883
汽车,2025-06-17,6.528470734729375
汽车,2025-06-18,6.502409009988895
汽车,2025-06-19,9.112851323931293
汽车,2025-06-20,9.076472724339538
汽车,2025-06-21,9.040239348505004
汽车,2025-06-22,9.004150616692904
汽车,2025-06-23,10.268205951482761
汽车,2025-06-24,10.227215163906353
汽车,2025-06-25,10.186388011990747
汽车,2025-06-26,10.145723842500642
汽车,2025-06-27,10.105222004808459
汽车,2025-06-28,10.064881850883932
汽车,2025-06-29,10.024702735283737
汽车,2025-06-30,9.984684015141166
汽车,2025-07-01,9.944825050155846
汽车,2025-07-02,9.905125202583482
汽车,2025-07-03,9.865583837225671
汽车,2025-07-04,9.826200321419721
汽车,2025-07-05,9.78697402502854
汽车,2025-07-06,9.747904320430548
汽车,2025-07-07,9.708990582509637
汽车,2025-07-08,9.670232188645173
汽车,2025-07-09,9.631628518702025
汽车,2025-07-10,9.593178955020651
汽车,2025-07-11,9.554882882407211
汽车,2025-07-12,9.516739688123728
汽车,2025-07-13,9.478748761878279
汽车,2025-07-14,9.440909495815234
汽车,2025-07-15,11.600221284505528
汽车,2025-07-16,11.553913077525726
汽车,2025-07-17,13.535789733401648
汽车,2025-07-18,15.509754716548418
汽车,2025-07-19,15.447839610447879
汽车,2025-07-20,15.386171670110661
汽车,2025-07-21,15.324749908848403
汽车,2025-07-22,15.263573343911615
汽车,2025-07-23,15.202640996473953
汽车,2025-07-24,15.141951891616557
汽车,2025-07-25,15.081505058312455
汽车,2025-07-26,15.021299529411026
汽车,2025-07-27,14.961334341622521
汽车,2025-07-28,14.901608535502659
汽车,2025-07-29,14.842121155437265
汽车,2025-07-30,14.782871249626991
汽车,2025-07-31,14.723857870072079
汽车,2025-08-01,14.665080072557197
汽车,2025-08-02,14.606536916636331
汽车,2025-08-03,14.548227465617737
汽车,2025-08-04,14.490150786548956
汽车,2025-08-05,14.432305950201881
汽车,2025-08-06,14.3746920310579
汽车,2025-08-07,16.953708107293078
汽车,2025-08-08,16.886028723869906
汽车,2025-08-09,16.81861951726655
汽车,2025-08-10,16.75147940893427
汽车,2025-08-11,16.684607324629898
汽车,2025-08-12,16.618002194398656
汽车,2025-08-13,16.551662952557045
汽车,2025-08-14,16.485588537675778
汽车,2025-08-15,16.419777892562806
汽车,2025-08-16,16.354229964246404
汽车,2025-08-17,16.288943703958317
汽车,2025-08-18,16.223918067116994
汽车,2025-08-19,16.159152013310855
汽车,2025-08-20,16.094644506281657
汽车,2025-08-21,16.03039451390791
汽车,2025-08-22,15.96640100818837
汽车,2025-08-23,15.902662965225577
汽车,2025-08-24,15.839179365209485
汽车,2025-08-25,15.77594919240114
汽车,2025-08-26,15.712971435116424
汽车,2025-08-27,15.650245085709882
汽车,2025-08-28,15.587769140558583
汽车,2025-08-29,15.525542600046073
汽车,2025-08-30,15.463564468546375
汽车,2025-08-31,15.401833754408063
汽车,2025-09-01,15.340349469938394
汽车,2025-09-02,15.279110631387505
汽车,2025-09-03,15.218116258932673
汽车,2025-09-04,15.157365376662638
汽车,2025-09-05,15.096857012561985
汽车,2025-09-06,15.0365901984956
汽车,2025-09-07,14.976563970193173
汽车,2025-09-08,16.94477736723377
汽车,2025-09-09,16.87713363542008
汽车,2025-09-10,16.8097599381046
汽车,2025-09-11,16.742655197306743
汽车,2025-09-12,18.235818339349215
汽车,2025-09-13,18.1630207582175
汽车,2025-09-14,18.090513785805392
汽车,2025-09-15,18.018296261999787
汽车,2025-09-16,17.946367031318765
汽车,2025-09-17,17.8747249428931
汽车,2025-09-18,17.80336885044785
汽车,2025-09-19,17.73229761228401
汽车,2025-09-20,17.661510091260258
汽车,2025-09-21,17.591005154774745
汽车,2025-09-22,17.520781674746985
汽车,2025-09-23,17.450838527599796
汽车,2025-09-24,20.017574594241335
汽车,2025-09-25,19.93766422315368
汽车,2025-09-26,19.85807285511893
汽车,2025-09-27,21.468799216673503
汽车,2025-09-28,21.383095541428833
汽车,2025-09-29,21.297733996169
汽车,2025-09-30,21.21271321510746
汽车,2025-10-01,21.128031837909898
汽车,2025-10-02,21.043688509672474
汽车,2025-10-03,20.95968188090014
汽车,2025-10-04,20.876010607485036
汽车,2025-10-05,20.792673350685007
汽车,2025-10-06,20.70966877710217
汽车,2025-10-07,20.626995558661573
汽车,2025-10-08,20.544652372589955
汽车,2025-10-09,22.220237901394587
汽车,2025-10-10,22.131534474913174
汽车,2025-10-11,22.0431851534555
汽车,2025-10-12,21.955188523430536
汽车,2025-10-13,21.867543176890326
汽车,2025-10-14,23.808247711507452
汽车,2025-10-15,23.713204932942222
汽车,2025-10-16,23.618541566161802
汽车,2025-10-17,23.524256096550303
汽车,2025-10-18,23.4303470155382
汽车,2025-10-19,23.336812820578192
汽车,2025-10-20,23.243652015121167
汽车,2025-10-21,23.15086310859225
汽车,2025-10-22,23.058444616366955
汽车,2025-10-23,22.966395059747438
汽车,2025-10-24,22.874712965938823
汽车,2025-10-25,22.783396868025658
汽车,2025-10-26,22.69244530494843
汽车,2025-10-27,22.601856821480183
汽车,2025-10-28,22.511629968203255
汽车,2025-10-29,22.421763301486067
汽车,2025-10-30,22.332255383460033
汽车,2025-10-31,22.243104781996557
汽车,2025-11-01,22.15431007068411
汽车,2025-11-02,22.065869828805425
汽车,2025-11-03,21.977782641314736
汽车,2025-11-04,21.890047098815167
汽车,2025-11-05,21.802661797536167
汽车,2025-11-06,21.715625339311053
汽车,2025-11-07,21.628936331554634
汽车,2025-11-08,21.542593387240938
汽车,2025-11-09,21.456595124881012
汽车,2025-11-10,21.370940168500827
汽车,2025-11-11,21.285627147619252
汽车,2025-11-12,21.20065469722613
汽车,2025-11-13,21.116021457760446
汽车,2025-11-14,21.031726075088564
汽车,2025-11-15,20.94776720048256
汽车,2025-11-16,20.864143490598646
汽车,2025-11-17,20.780853607455686
汽车,2025-11-18,20.69789621841377
汽车,2025-11-19,20.615269996152904
汽车,2025-11-20,20.53297361865177
汽车,2025-11-21,20.45100576916657
汽车,2025-11-22,20.369365136209968
汽车,2025-11-23,20.28805041353009
汽车,2025-11-24,20.20706030008964
汽车,2025-11-25,20.126393500045076
汽车,2025-11-26,20.046048722725875
汽车,2025-11-27,19.966024682613888
汽车,2025-11-28,19.886320099322763
汽车,2025-11-29,19.80693369757747
汽车,2025-11-30,19.727864207193885
汽车,2025-12-01,19.64911036305848
汽车,2025-12-02,19.570670905108063
汽车,2025-12-03,19.492544578309637
汽车,2025-12-04,19.414730132640305
汽车,2025-12-05,19.337226323067274
汽车,2025-12-06,19.260031909527942
汽车,2025-12-07,19.183145656910042
汽车,2025-12-08,19.106566335031893
汽车,2025-12-09,19.03029271862271
汽车,2025-12-10,18.95432358730301
汽车,2025-12-11,18.878657725565063
汽车,2025-12-12,18.80329392275347
汽车,2025-12-13,18.728230973045775
汽车,2025-12-14,18.653467675433188
汽车,2025-12-15,18.57900283370135
汽车,2025-12-16,18.5048352564112
汽车,2025-12-17,18.430963756879926
汽车,2025-12-18,18.357387153161955
汽车,2025-12-19,18.28410426803006
汽车,2025-12-20,18.211113928956514
汽车,2025-12-21,18.138414968094335
汽车,2025-12-22,18.066006222258597
汽车,2025-12-23,17.993886532907826
汽车,2025-12-24,17.92205474612545
汽车,2025-12-25,17.85050971260135
汽车,2025-12-26,17.77925028761346
汽车,2025-12-27,17.708275331009467
汽车,2025-12-28,17.637583707188544
汽车,2025-12-29,17.567174285083205
汽车,2025-12-30,17.497045938141195
汽车,2025-12-31,17.427197544307464
汽车,2026-01-01,17.357627986006225
汽车,2026-01-02,17.288336150123058
汽车,2026-01-03,17.21932092798711
汽车,2026-01-04,17.150581215353355
汽车,2026-01-05,17.082115912384925
汽车,2026-01-06,17.013923923635513
汽车,2026-01-07,16.94600415803184
汽车,2026-01-08,16.87835552885621
汽车,2026-01-09,16.810976953729117
汽车,2026-01-10,16.743867354591917
汽车,2026-01-11,16.677025657689594
汽车,2026-01-12,16.610450793553568
